Drug,Protein
DB02292,9606.ENSP00000285379
DB01297,9606.ENSP00000358301
DB00612,9606.ENSP00000358301
DB00335,9606.ENSP00000358301
DB01193,9606.ENSP00000358301
DB00264,9606.ENSP00000358301
DB00598,9606.ENSP00000358301
DB00489,9606.ENSP00000358301
DB00866,9606.ENSP00000358301
DB01203,9606.ENSP00000358301
DB01001,9606.ENSP00000358301
DB00871,9606.ENSP00000358301
DB00938,9606.ENSP00000358301
DB01297,9606.ENSP00000305372
DB00612,9606.ENSP00000305372
DB09351,9606.ENSP00000305372
DB00335,9606.ENSP00000305372
DB01193,9606.ENSP00000305372
DB00264,9606.ENSP00000305372
DB00598,9606.ENSP00000305372
DB00489,9606.ENSP00000305372
DB01001,9606.ENSP00000305372
DB00871,9606.ENSP00000305372
DB01297,9606.ENSP00000343782
DB00612,9606.ENSP00000343782
DB09351,9606.ENSP00000343782
DB00335,9606.ENSP00000343782
DB01193,9606.ENSP00000343782
DB00264,9606.ENSP00000343782
DB00598,9606.ENSP00000343782
DB00571,9606.ENSP00000343782
DB00489,9606.ENSP00000343782
DB00866,9606.ENSP00000343782
DB08808,9606.ENSP00000343782
DB01203,9606.ENSP00000343782
DB01001,9606.ENSP00000343782
DB00871,9606.ENSP00000343782
DB00938,9606.ENSP00000343782
DB00317,9606.ENSP00000275493
DB12558,9606.ENSP00000275493
DB00317,9606.ENSP00000275493
DB07995,9606.ENSP00000317985
DB07026,9606.ENSP00000458585
DB07083,9606.ENSP00000308541
DB05928,9606.ENSP00000373700
DB05524,9606.ENSP00000373700
DB00530,9606.ENSP00000373700
DB06589,9606.ENSP00000373700
DB06195,9606.ENSP00000373700
DB01268,9606.ENSP00000373700
DB05294,9606.ENSP00000373700
DB05969,9606.ENSP00000216911
DB00530,9606.ENSP00000216911
DB06589,9606.ENSP00000216911
DB01268,9606.ENSP00000216911
DB05928,9606.ENSP00000313950
DB05424,9606.ENSP00000313950
DB00530,9606.ENSP00000313950
DB13061,9606.ENSP00000313950
DB00398,9606.ENSP00000313950
DB01268,9606.ENSP00000313950
DB05928,9606.ENSP00000302898
DB05424,9606.ENSP00000302898
DB00530,9606.ENSP00000302898
DB06589,9606.ENSP00000302898
DB05465,9606.ENSP00000302898
DB13061,9606.ENSP00000302898
DB00398,9606.ENSP00000302898
DB01268,9606.ENSP00000302898
DB05294,9606.ENSP00000302898
DB05928,9606.ENSP00000301178
DB05424,9606.ENSP00000301178
DB05524,9606.ENSP00000301178
DB13061,9606.ENSP00000301178
DB00398,9606.ENSP00000301178
DB01268,9606.ENSP00000301178
DB05294,9606.ENSP00000301178
DB05928,9606.ENSP00000363708
DB01268,9606.ENSP00000363708
DB05969,9606.ENSP00000367900
DB06589,9606.ENSP00000367900
DB05969,9606.ENSP00000256443
DB05928,9606.ENSP00000256443
DB06195,9606.ENSP00000256443
DB00398,9606.ENSP00000256443
DB01268,9606.ENSP00000256443
DB05969,9606.ENSP00000362361
DB05969,9606.ENSP00000316948
DB05928,9606.ENSP00000316948
DB05524,9606.ENSP00000316948
DB00619,9606.ENSP00000316948
DB11829,9606.ENSP00000316948
DB05465,9606.ENSP00000316948
DB01268,9606.ENSP00000316948
DB07319,9606.ENSP00000335153
DB01064,9606.ENSP00000312262
DB00871,9606.ENSP00000312262
DB00816,9606.ENSP00000312262
DB02546,9606.ENSP00000362674
DB02546,9606.ENSP00000362674
DB01023,9606.ENSP00000313950
DB14128,9606.ENSP00000290921
DB11841,9606.ENSP00000362649
DB11841,9606.ENSP00000430432
DB04297,9606.ENSP00000362649
DB04297,9606.ENSP00000430432
DB02546,9606.ENSP00000362649
DB02546,9606.ENSP00000430432
DB04557,9606.ENSP00000356438
DB00328,9606.ENSP00000356438
DB00482,9606.ENSP00000356438
DB02091,9606.ENSP00000266970
DB08126,9606.ENSP00000266970
DB08126,9606.ENSP00000266970
DB03758,9606.ENSP00000420927
DB00795,9606.ENSP00000398698
DB04474,9606.ENSP00000297258
DB04705,9606.ENSP00000332576
DB04540,9606.ENSP00000332576
DB02021,9606.ENSP00000285930
DB07030,9606.ENSP00000285930
DB15068,9606.ENSP00000419060
DB15068,9606.ENSP00000419060
DB00523,9606.ENSP00000419692
DB00523,9606.ENSP00000363817
DB00755,9606.ENSP00000388510
DB00755,9606.ENSP00000254066
DB02587,9606.ENSP00000416293
DB00755,9606.ENSP00000388510
DB00755,9606.ENSP00000332296
DB00598,9606.ENSP00000480573
DB09205,9606.ENSP00000480573
DB00598,9606.ENSP00000480573
DB00571,9606.ENSP00000480573
DB00598,9606.ENSP00000480573
DB00307,9606.ENSP00000254066
DB00307,9606.ENSP00000388510
DB00307,9606.ENSP00000332296
DB00307,9606.ENSP00000419692
DB00755,9606.ENSP00000332296
DB00755,9606.ENSP00000388510
DB00755,9606.ENSP00000419692
DB01162,9606.ENSP00000369960
DB00307,9606.ENSP00000419692
DB08162,9606.ENSP00000317985
DB07995,9606.ENSP00000317985
DB13750,9606.ENSP00000303211
DB13750,9606.ENSP00000303211
DB13750,9606.ENSP00000303211
DB03466,9606.ENSP00000388510
DB03466,9606.ENSP00000254066
DB03466,9606.ENSP00000332296
DB02741,9606.ENSP00000254066
DB02424,9606.ENSP00000360609
DB02424,9606.ENSP00000335153
DB00755,9606.ENSP00000332296
DB04175,9606.ENSP00000442982
DB03044,9606.ENSP00000356899
DB06589,9606.ENSP00000356899
DB12962,9606.ENSP00000356899
DB03044,9606.ENSP00000356899
DB01254,9606.ENSP00000356899
DB06589,9606.ENSP00000356899
DB04868,9606.ENSP00000356899
DB00398,9606.ENSP00000356899
DB06883,9606.ENSP00000356899
DB06882,9606.ENSP00000356899
DB00523,9606.ENSP00000419692
DB12316,9606.ENSP00000419692
DB00307,9606.ENSP00000419692
DB00523,9606.ENSP00000419692
DB00307,9606.ENSP00000419692
DB12316,9606.ENSP00000419692
DB01098,9606.ENSP00000287600
DB00302,9606.ENSP00000308938
DB00302,9606.ENSP00000308938
DB00302,9606.ENSP00000308938
DB00302,9606.ENSP00000308938
DB12216,9606.ENSP00000371985
DB12216,9606.ENSP00000265969
DB12216,9606.ENSP00000487785
DB12216,9606.ENSP00000280684
DB12216,9606.ENSP00000252321
DB00912,9606.ENSP00000494321
DB01207,9606.ENSP00000393333
DB02010,9606.ENSP00000483570
DB03044,9606.ENSP00000261937
DB01268,9606.ENSP00000361423
DB05524,9606.ENSP00000455607
DB00619,9606.ENSP00000319192
DB01268,9606.ENSP00000303830
DB02010,9606.ENSP00000346148
DB05424,9606.ENSP00000361423
DB00317,9606.ENSP00000374323
DB00530,9606.ENSP00000386456
DB02010,9606.ENSP00000427562
DB02010,9606.ENSP00000255641
DB02010,9606.ENSP00000256460
DB07138,9606.ENSP00000361423
DB05294,9606.ENSP00000361423
DB02010,9606.ENSP00000266970
DB02010,9606.ENSP00000374323
DB11829,9606.ENSP00000386456
DB03496,9606.ENSP00000455607
DB01268,9606.ENSP00000408695
DB01268,9606.ENSP00000312741
DB03496,9606.ENSP00000266970
DB02010,9606.ENSP00000295709
DB02010,9606.ENSP00000275493
DB02010,9606.ENSP00000288135
DB02010,9606.ENSP00000361423
DB02010,9606.ENSP00000369375
DB02010,9606.ENSP00000362608
DB02010,9606.ENSP00000379964
DB02010,9606.ENSP00000216911
DB03496,9606.ENSP00000500386
DB00398,9606.ENSP00000361423
DB05524,9606.ENSP00000361423
DB01268,9606.ENSP00000375986
DB05424,9606.ENSP00000361423
DB02010,9606.ENSP00000351209
DB02010,9606.ENSP00000276052
DB02010,9606.ENSP00000378505
DB02010,9606.ENSP00000480763
DB05524,9606.ENSP00000361423
DB05294,9606.ENSP00000361423
DB00619,9606.ENSP00000361423
DB02010,9606.ENSP00000368884
DB01268,9606.ENSP00000261937
DB01268,9606.ENSP00000500386
DB02010,9606.ENSP00000477713
DB02010,9606.ENSP00000362680
DB02010,9606.ENSP00000361423
DB02010,9606.ENSP00000361423
DB02010,9606.ENSP00000422435
DB02010,9606.ENSP00000462468
DB05424,9606.ENSP00000361423
DB02010,9606.ENSP00000419782
DB03044,9606.ENSP00000361423
DB00317,9606.ENSP00000319192
DB05294,9606.ENSP00000375986
DB00530,9606.ENSP00000361423
DB02010,9606.ENSP00000009105
DB03496,9606.ENSP00000379098
DB00530,9606.ENSP00000361423
DB05294,9606.ENSP00000374323
DB00530,9606.ENSP00000361423
DB00398,9606.ENSP00000261937
DB03044,9606.ENSP00000374323
DB02010,9606.ENSP00000361423
DB00398,9606.ENSP00000361423
DB02010,9606.ENSP00000346671
DB02010,9606.ENSP00000380044
DB00530,9606.ENSP00000361423
DB01268,9606.ENSP00000379098
DB02010,9606.ENSP00000408695
DB02010,9606.ENSP00000378974
DB00398,9606.ENSP00000361423
DB00530,9606.ENSP00000361423
DB02010,9606.ENSP00000220751
DB05424,9606.ENSP00000375986
DB02010,9606.ENSP00000166244
DB02010,9606.ENSP00000394734
DB02010,9606.ENSP00000281821
DB01268,9606.ENSP00000374323
DB02010,9606.ENSP00000363117
DB02010,9606.ENSP00000375986
DB05524,9606.ENSP00000369375
DB02010,9606.ENSP00000469413
DB01268,9606.ENSP00000319192
DB02010,9606.ENSP00000341189
DB07138,9606.ENSP00000361423
DB05294,9606.ENSP00000361423
DB11829,9606.ENSP00000312741
DB02010,9606.ENSP00000263955
DB05524,9606.ENSP00000361423
DB02010,9606.ENSP00000350224
DB02010,9606.ENSP00000336740
DB02010,9606.ENSP00000358813
DB02010,9606.ENSP00000281092
DB02010,9606.ENSP00000337451
DB05524,9606.ENSP00000361423
DB05524,9606.ENSP00000269571
DB02010,9606.ENSP00000381097
DB02010,9606.ENSP00000357345
DB02010,9606.ENSP00000476145
DB05524,9606.ENSP00000361423
DB00619,9606.ENSP00000361423
DB05424,9606.ENSP00000361423
DB11829,9606.ENSP00000500386
DB02010,9606.ENSP00000303830
DB05424,9606.ENSP00000319192
DB02010,9606.ENSP00000361423
DB02010,9606.ENSP00000220003
DB05424,9606.ENSP00000361423
DB02010,9606.ENSP00000263923
DB01268,9606.ENSP00000386456
DB07138,9606.ENSP00000361423
DB00619,9606.ENSP00000361423
DB02010,9606.ENSP00000261937
DB05424,9606.ENSP00000374323
DB02010,9606.ENSP00000428924
DB02010,9606.ENSP00000339824
DB03044,9606.ENSP00000361423
DB00530,9606.ENSP00000361423
DB02010,9606.ENSP00000316948
DB04879,9606.ENSP00000261937
DB03044,9606.ENSP00000361423
DB00398,9606.ENSP00000374323
DB05294,9606.ENSP00000261937
DB02010,9606.ENSP00000410294
DB02010,9606.ENSP00000393312
DB02010,9606.ENSP00000373684
DB02010,9606.ENSP00000361423
DB01268,9606.ENSP00000361423
DB05294,9606.ENSP00000361423
DB00398,9606.ENSP00000361423
DB02010,9606.ENSP00000365162
DB03044,9606.ENSP00000361423
DB02010,9606.ENSP00000314499
DB00398,9606.ENSP00000361423
DB02010,9606.ENSP00000302898
DB02010,9606.ENSP00000374323
DB05524,9606.ENSP00000445440
DB02010,9606.ENSP00000250896
DB05524,9606.ENSP00000427562
DB02010,9606.ENSP00000351908
DB02010,9606.ENSP00000371341
DB01268,9606.ENSP00000361423
DB05424,9606.ENSP00000361423
DB05294,9606.ENSP00000361423
DB00398,9606.ENSP00000361423
DB00619,9606.ENSP00000361423
DB01268,9606.ENSP00000361423
DB02010,9606.ENSP00000365012
DB02010,9606.ENSP00000361423
DB07138,9606.ENSP00000361423
DB02010,9606.ENSP00000479667
DB00530,9606.ENSP00000374323
DB02010,9606.ENSP00000371067
DB07138,9606.ENSP00000361423
DB01268,9606.ENSP00000361423
DB02010,9606.ENSP00000394560
DB05294,9606.ENSP00000361423
DB05524,9606.ENSP00000374323
DB00619,9606.ENSP00000361423
DB02010,9606.ENSP00000215659
DB02010,9606.ENSP00000355966
DB02010,9606.ENSP00000319192
DB05524,9606.ENSP00000361423
DB02010,9606.ENSP00000238616
DB05524,9606.ENSP00000380044
DB05524,9606.ENSP00000362680
DB00523,9606.ENSP00000388510
DB00523,9606.ENSP00000254066
DB00523,9606.ENSP00000419692
DB00523,9606.ENSP00000363817
DB00523,9606.ENSP00000332296
DB00523,9606.ENSP00000352900
DB03401,9606.ENSP00000363435
DB02746,9606.ENSP00000477713
DB03298,9606.ENSP00000477713
DB08632,9606.ENSP00000477713
DB08705,9606.ENSP00000301633
DB13277,9606.ENSP00000301633
DB00755,9606.ENSP00000254066
DB06595,9606.ENSP00000316948
DB06595,9606.ENSP00000345629
DB06469,9606.ENSP00000484390
DB06469,9606.ENSP00000371188
DB01268,9606.ENSP00000386135
DB06469,9606.ENSP00000394560
DB06469,9606.ENSP00000256460
DB00398,9606.ENSP00000359119
DB06595,9606.ENSP00000332454
DB06595,9606.ENSP00000270861
DB06595,9606.ENSP00000363092
DB06469,9606.ENSP00000277120
DB06469,9606.ENSP00000350195
DB12874,9606.ENSP00000364361
DB06469,9606.ENSP00000263923
DB06595,9606.ENSP00000215659
DB06595,9606.ENSP00000265334
DB06469,9606.ENSP00000295408
DB12874,9606.ENSP00000353452
DB06595,9606.ENSP00000365162
DB06595,9606.ENSP00000264972
DB06595,9606.ENSP00000281092
DB06595,9606.ENSP00000374323
DB06595,9606.ENSP00000253055
DB06469,9606.ENSP00000336740
DB06469,9606.ENSP00000367900
DB06469,9606.ENSP00000482548
DB06469,9606.ENSP00000347942
DB06469,9606.ENSP00000419060
DB06469,9606.ENSP00000464030
DB06595,9606.ENSP00000345133
DB06469,9606.ENSP00000364898
DB06595,9606.ENSP00000365012
DB06469,9606.ENSP00000368884
DB05465,9606.ENSP00000364361
DB06469,9606.ENSP00000362931
DB06595,9606.ENSP00000304226
DB12874,9606.ENSP00000370891
DB05465,9606.ENSP00000353452
DB06595,9606.ENSP00000263967
DB05465,9606.ENSP00000345997
DB06595,9606.ENSP00000357869
DB06595,9606.ENSP00000468348
DB06595,9606.ENSP00000251472
DB06469,9606.ENSP00000368356
DB06469,9606.ENSP00000361275
DB06595,9606.ENSP00000317272
DB06595,9606.ENSP00000263025
DB06469,9606.ENSP00000306340
DB06469,9606.ENSP00000317985
DB01268,9606.ENSP00000303830
DB06595,9606.ENSP00000378485
DB06595,9606.ENSP00000432511
DB06595,9606.ENSP00000442973
DB06595,9606.ENSP00000356899
DB06469,9606.ENSP00000378505
DB06469,9606.ENSP00000363117
DB05465,9606.ENSP00000370891
